state,area,population
alabama,50646.64,4887871
arizona,113653.15,7171646
arkansas,52037.53,3013825
california,155854.04,39557045
colorado,103637.5,5695564
connecticut,4842.69,3572665
florida,53647.88,21299325
georgia,57716.33,10519475
hawaii,6422.43,1420491
idaho,82645.13,1754208
illinois,55513.72,12741080
indiana,35826.44,6691878
iowa,55853.72,3156145
kansas,81758.48,2911505
kentucky,39491.39,4468402
louisiana,43204.49,4659978
maine,30844.8,1338404
maryland,9711.14,6042718
massachusetts,7800.96,6902149
michigan,56605.93,9995915
minnesota,79625.88,5611179
mississippi,46925.54,2986530
missouri,68745.46,6126452
montana,145547.71,1062305
nebraska,76816.5,1929268
new jersey,7354.8,8908520
new mexico,121312.24,2095428
new york,47123.77,19542209
north carolina,48620.28,10383620
north dakota,68994.77,760077
ohio,40858.76,11689442
oklahoma,68595.95,3943079
oregon,95988,4190713
pennsylvania,44741.7,12807060
south carolina,30063.71,5084127
south dakota,75809.69,882235
tennessee,41237.97,6770010
texas,261263.07,28701845
utah,82376.88,3161105
vermont,9217.88,626299
virginia,39482.15,8517685
washington,66455.12,7535591
west virginia,24041.13,1805832
wisconsin,54167.44,5813568
wyoming,97088.7,577737
