Alabama, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.57
201502,-0.74
201503,-1.30
201504,-0.70
201505,-0.64
201506,-0.91
201507,-1.26
201508,-0.99
201509,-1.30
201510,-1.24
201511,0.68
201512,2.33
201601,-0.27
201602,-0.09
201603,-0.48
201604,-0.27
201605,-0.88
201606,-1.10
201607,-1.67
201608,-1.76
201609,-2.60
201610,-3.51
201611,-3.88
201612,-3.79
201701,-2.36
201702,-2.75
201703,-3.15
201704,-3.24
201705,0.99
201706,3.21
201707,2.86
201708,3.36
201709,3.04
201710,3.83
201711,2.63
201712,2.06
201801,1.09
201802,1.33
201803,0.60
201804,0.93
201805,1.07
201806,1.04
201807,0.58
201808,0.74
201809,1.17
201810,0.97
201811,1.71
201812,2.92
201901,2.87
201902,2.68
201903,-0.78
201904,-0.38
201905,-0.74
201906,-0.62
201907,-1.14
201908,-1.02
201909,-2.41
201910,1.06
201911,0.90
201912,1.19
202001,1.70
202002,2.99
202003,2.34
202004,2.71
202005,2.36
202006,2.51
202007,2.23
202008,2.52
202009,3.05
202010,3.60
202011,2.87
202012,2.29
202101,1.62
202102,1.19
202103,1.38
202104,1.45
202105,1.55
202106,2.99
202107,3.52
202108,4.46
202109,4.58
202110,4.86
202111,3.70
202112,3.01
202201,2.65
202202,2.47
202203,2.35
202204,2.28
202205,2.16
202206,1.51
