Iowa, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,12.5,4.1
201502,4.7,-8.3
201503,24.6,0.1
201504,38.7,2.3
201505,49.8,1.9
201506,59.4,1.7
201507,62.0,-0.2
201508,58.6,-1.2
201509,57.5,6.4
201510,41.7,2.2
201511,32.8,6.8
201512,26.6,12.6
201601,12.4,4.0
201602,21.1,8.1
201603,32.0,7.5
201604,39.3,2.9
201605,48.1,0.2
201606,61.2,3.5
201607,63.1,0.9
201608,62.2,2.4
201609,56.8,5.7
201610,44.2,4.7
201611,34.2,8.2
201612,15.3,1.3
201701,17.9,9.5
201702,24.0,11.0
201703,28.3,3.8
201704,40.9,4.5
201705,47.2,-0.7
201706,58.6,0.9
201707,63.6,1.4
201708,56.8,-3.0
201709,54.3,3.2
201710,43.2,3.7
201711,26.0,0.0
201712,15.1,1.1
201801,8.7,0.3
201802,11.2,-1.8
201803,26.8,2.3
201804,28.0,-8.4
201805,55.3,7.4
201806,63.1,5.4
201807,62.4,0.2
201808,61.2,1.4
201809,55.9,4.8
201810,38.1,-1.4
201811,22.2,-3.8
201812,20.5,6.5
201901,10.3,1.9
201902,6.2,-6.8
201903,22.2,-2.3
201904,37.6,1.2
201905,46.6,-1.3
201906,58.9,1.2
201907,65.0,2.8
201908,59.2,-0.6
201909,58.4,7.3
201910,37.0,-2.5
201911,23.7,-2.3
201912,20.2,6.2
202001,15.8,7.4
202002,15.5,2.5
202003,31.1,6.6
202004,34.3,-2.1
202005,47.9,0.0
202006,62.1,4.4
202007,64.8,2.6
202008,59.8,0.0
202009,50.6,-0.5
202010,35.3,-4.2
202011,30.5,4.5
202012,17.7,3.7
202101,16.7,8.3
202102,4.5,-8.5
202103,32.1,7.6
202104,37.9,1.5
202105,48.6,0.7
202106,61.4,3.7
202107,63.0,0.8
202108,61.7,1.9
202109,53.7,2.6
202110,45.3,5.8
202111,28.8,2.8
202112,21.9,7.9
202201,3.4,-5.0
202202,9.3,-3.7
202203,26.5,2.0
202204,32.8,-3.6
202205,50.6,2.7
202206,60.0,2.3
