Maine, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.7,-2.1
201502,-5.8,-9.6
201503,10.2,-5.5
201504,27.2,-1.0
201505,42.8,4.1
201506,47.4,-0.8
201507,54.0,0.0
201508,56.8,5.0
201509,49.9,6.0
201510,33.1,-1.2
201511,28.7,4.3
201512,24.9,15.0
201601,11.4,8.6
201602,11.4,7.6
201603,19.8,4.1
201604,25.6,-2.6
201605,41.1,2.4
201606,48.9,0.7
201607,56.2,2.2
201608,55.2,3.4
201609,47.8,3.9
201610,37.4,3.1
201611,30.0,5.6
201612,11.6,1.7
201701,13.2,10.4
201702,10.5,6.7
201703,12.4,-3.3
201704,32.6,4.4
201705,40.6,1.9
201706,49.9,1.7
201707,54.1,0.1
201708,51.7,-0.1
201709,49.9,6.0
201710,41.1,6.8
201711,23.3,-1.1
201712,8.2,-1.7
201801,5.9,3.1
201802,12.0,8.2
201803,20.8,5.1
201804,26.7,-1.5
201805,39.3,0.6
201806,46.7,-1.5
201807,57.4,3.4
201808,57.4,5.6
201809,46.5,2.6
201810,34.4,0.1
201811,22.1,-2.3
201812,11.2,1.3
201901,4.2,1.4
201902,6.4,2.6
201903,13.4,-2.3
201904,30.0,1.8
201905,37.9,-0.8
201906,47.8,-0.4
201907,56.3,2.3
201908,53.2,1.4
201909,44.6,0.7
201910,37.1,2.8
201911,22.1,-2.3
201912,14.7,4.8
202001,12.7,9.9
202002,9.5,5.7
202003,19.6,3.9
202004,27.9,-0.3
202005,38.7,0.0
202006,50.1,1.9
202007,58.6,4.6
202008,54.4,2.6
202009,44.7,0.8
202010,35.6,1.3
202011,28.0,3.6
202012,20.4,10.5
202101,14.8,12.0
202102,9.0,5.2
202103,18.1,2.4
202104,32.0,3.8
202105,39.8,1.1
202106,52.8,4.6
202107,53.8,-0.2
202108,57.9,6.1
202109,48.9,5.0
202110,41.3,7.0
202111,27.0,2.6
202112,16.3,6.4
202201,-0.3,-3.1
202202,8.4,4.6
202203,19.8,4.1
202204,30.9,2.7
202205,41.0,2.3
202206,48.6,0.4
