Montana, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,14.8,7.8
201502,16.2,5.3
201503,26.4,7.8
201504,29.2,0.5
201505,37.4,-0.3
201506,49.5,4.1
201507,51.7,0.9
201508,50.1,1.2
201509,42.6,2.6
201510,35.6,4.7
201511,19.9,0.2
201512,15.0,3.6
201601,14.8,7.8
201602,23.2,12.3
201603,25.3,6.7
201604,32.6,3.9
201605,38.4,0.7
201606,47.2,1.8
201607,51.1,0.3
201608,48.9,0.0
201609,42.6,2.6
201610,34.0,3.1
201611,28.2,8.5
201612,5.4,-6.0
201701,5.8,-1.2
201702,16.0,5.1
201703,25.3,6.7
201704,30.7,2.0
201705,38.1,0.4
201706,46.4,1.0
201707,54.8,4.0
201708,49.5,0.6
201709,41.8,1.8
201710,30.0,-0.9
201711,21.2,1.5
201712,12.2,0.8
201801,12.1,5.1
201802,0.2,-10.7
201803,18.0,-0.6
201804,25.8,-2.9
201805,43.2,5.5
201806,46.9,1.5
201807,51.4,0.6
201808,49.1,0.2
201809,40.1,0.1
201810,30.0,-0.9
201811,21.0,1.3
201812,16.1,4.7
201901,15.1,8.1
201902,-5.0,-15.9
201903,13.0,-5.6
201904,31.0,2.3
201905,36.2,-1.5
201906,45.4,0.0
201907,50.8,0.0
201908,50.2,1.3
201909,43.4,3.4
201910,24.1,-6.8
201911,19.5,-0.2
201912,17.0,5.6
202001,14.6,7.6
202002,15.0,4.1
202003,20.4,1.8
202004,25.5,-3.2
202005,38.2,0.5
202006,46.7,1.3
202007,50.2,-0.6
202008,50.9,2.0
202009,41.6,1.6
202010,27.5,-3.4
202011,22.1,2.4
202012,18.8,7.4
202101,17.5,10.5
202102,3.7,-7.2
202103,23.2,4.6
202104,27.5,-1.2
202105,35.9,-1.8
202106,49.3,3.9
202107,56.2,5.4
202108,50.4,1.5
202109,42.6,2.6
202110,33.3,2.4
202111,25.4,5.7
202112,9.2,-2.2
202201,12.4,5.4
202202,11.1,0.2
202203,21.5,2.9
202204,23.6,-5.1
202205,36.7,-1.0
202206,45.7,0.3
