Nebraska, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,2.04
201502,1.98
201503,0.81
201504,0.76
201505,2.05
201506,2.51
201507,3.08
201508,3.49
201509,3.44
201510,3.18
201511,3.63
201512,4.35
201601,4.07
201602,3.99
201603,3.42
201604,5.00
201605,5.36
201606,4.03
201607,4.15
201608,3.91
201609,3.55
201610,2.94
201611,2.31
201612,2.23
201701,2.41
201702,2.12
201703,1.67
201704,1.59
201705,2.18
201706,0.89
201707,0.57
201708,1.64
201709,1.78
201710,2.72
201711,2.02
201712,1.70
201801,1.75
201802,1.67
201803,1.30
201804,1.24
201805,1.45
201806,1.97
201807,3.08
201808,3.22
201809,3.37
201810,4.12
201811,4.04
201812,5.11
201901,4.72
201902,4.75
201903,5.92
201904,5.39
201905,7.05
201906,6.59
201907,7.14
201908,8.50
201909,8.09
201910,7.91
201911,7.52
201912,7.57
202001,7.22
202002,6.62
202003,6.58
202004,5.58
202005,5.69
202006,4.48
202007,4.85
202008,-0.83
202009,-1.36
202010,-1.46
202011,-1.65
202012,-1.56
202101,-1.36
202102,-1.33
202103,1.26
202104,-0.25
202105,-0.05
202106,-0.94
202107,-1.09
202108,-1.01
202109,-1.20
202110,-0.77
202111,-1.38
202112,-1.66
202201,-1.88
202202,-2.30
202203,-2.85
202204,-3.14
202205,-3.11
202206,-4.15
