New York, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.45
201502,-0.74
201503,-1.44
201504,-1.50
201505,-2.15
201506,2.03
201507,0.01
201508,-0.36
201509,0.19
201510,0.43
201511,-0.82
201512,-0.56
201601,-1.07
201602,1.11
201603,-0.79
201604,-1.06
201605,-1.53
201606,-1.82
201607,-2.00
201608,-1.76
201609,-2.49
201610,0.52
201611,-0.47
201612,0.16
201701,0.49
201702,0.71
201703,0.91
201704,1.30
201705,2.21
201706,2.58
201707,3.20
201708,2.97
201709,2.07
201710,2.57
201711,2.13
201712,1.59
201801,1.80
201802,2.00
201803,1.81
201804,2.30
201805,1.33
201806,0.98
201807,1.13
201808,1.69
201809,2.01
201810,2.65
201811,3.93
201812,3.58
201901,4.12
201902,3.80
201903,2.83
201904,3.04
201905,3.52
201906,3.89
201907,3.38
201908,3.20
201909,2.42
201910,3.47
201911,3.41
201912,3.50
202001,3.15
202002,3.12
202003,-0.33
202004,-0.28
202005,-0.51
202006,-1.19
202007,-1.21
202008,-0.82
202009,-1.39
202010,-1.23
202011,-1.76
202012,-1.14
202101,-1.41
202102,-1.40
202103,-2.11
202104,-2.02
202105,-2.10
202106,-2.23
202107,2.36
202108,3.03
202109,3.46
202110,4.54
202111,3.82
202112,3.11
202201,2.40
202202,2.94
202203,2.61
202204,3.06
202205,2.27
202206,2.09
