Ohio, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,16.3,-2.4
201502,7.1,-12.9
201503,25.9,-2.7
201504,40.0,2.2
201505,53.0,5.0
201506,60.4,3.2
201507,61.5,0.2
201508,59.0,-0.4
201509,56.8,4.3
201510,43.6,2.4
201511,36.9,5.3
201512,35.7,13.0
201601,18.6,-0.1
201602,24.5,4.5
201603,36.6,8.0
201604,38.0,0.2
201605,48.6,0.6
201606,59.4,2.2
201607,64.1,2.8
201608,65.8,6.4
201609,57.4,4.9
201610,46.8,5.6
201611,34.8,3.2
201612,24.2,1.5
201701,27.5,8.8
201702,30.6,10.6
201703,31.2,2.6
201704,44.7,6.9
201705,49.6,1.6
201706,58.2,1.0
201707,63.0,1.7
201708,58.8,-0.6
201709,54.3,1.8
201710,46.6,5.4
201711,32.5,0.9
201712,21.0,-1.7
201801,16.3,-2.4
201802,27.6,7.6
201803,27.7,-0.9
201804,34.3,-3.5
201805,56.1,8.1
201806,61.4,4.2
201807,63.0,1.7
201808,64.2,4.8
201809,60.5,8.0
201810,44.4,3.2
201811,31.1,-0.5
201812,28.0,5.3
201901,19.8,1.1
201902,24.6,4.6
201903,27.1,-1.5
201904,41.2,3.4
201905,52.1,4.1
201906,58.8,1.6
201907,65.4,4.1
201908,61.2,1.8
201909,57.8,5.3
201910,44.8,3.6
201911,28.4,-3.2
201912,27.7,5.0
202001,28.2,9.5
202002,25.0,5.0
202003,35.5,6.9
202004,37.0,-0.8
202005,47.9,-0.1
202006,59.0,1.8
202007,65.6,4.3
202008,61.3,1.9
202009,53.2,0.7
202010,43.8,2.6
202011,35.7,4.1
202012,26.7,4.0
202101,25.7,7.0
202102,17.8,-2.2
202103,32.0,3.4
202104,39.7,1.9
202105,47.0,-1.0
202106,61.2,4.0
202107,63.2,1.9
202108,64.5,5.1
202109,55.8,3.3
202110,51.3,10.1
202111,31.0,-0.6
202112,30.9,8.2
202201,15.0,-3.7
202202,21.3,1.3
202203,31.9,3.3
202204,38.1,0.3
202205,52.8,4.8
202206,58.5,1.3
