Pennsylvania, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,2.44,-0.51
201502,1.52,-1.88
201503,3.19,0.06
201504,3.86,-0.03
201505,2.57,-2.09
201506,8.36,3.64
201507,4.33,-0.99
201508,2.57,-1.82
201509,4.32,-0.02
201510,3.78,-0.69
201511,2.06,-0.75
201512,4.10,0.63
201601,2.39,-0.56
201602,3.94,0.54
201603,1.96,-1.17
201604,2.63,-1.26
201605,3.88,-0.78
201606,3.35,-1.37
201607,3.79,-1.53
201608,4.09,-0.30
201609,3.55,-0.79
201610,4.31,-0.16
201611,1.49,-1.32
201612,3.62,0.15
201701,3.82,0.87
201702,2.20,-1.20
201703,3.98,0.85
201704,4.32,0.43
201705,5.95,1.29
201706,4.62,-0.10
201707,6.14,0.82
201708,3.84,-0.55
201709,2.06,-2.28
201710,5.09,0.62
201711,2.89,0.08
201712,1.70,-1.77
201801,3.28,0.33
201802,5.40,2.00
201803,3.12,-0.01
201804,4.17,0.28
201805,5.48,0.82
201806,5.32,0.60
201807,7.53,2.21
201808,6.26,1.87
201809,8.88,4.54
201810,4.28,-0.19
201811,6.06,3.25
201812,4.26,0.79
201901,4.27,1.32
201902,3.45,0.05
201903,2.97,-0.16
201904,4.53,0.64
201905,6.52,1.86
201906,5.82,1.10
201907,5.62,0.30
201908,3.71,-0.68
201909,2.13,-2.21
201910,5.61,1.14
201911,2.44,-0.37
201912,3.71,0.24
202001,3.05,0.10
202002,3.35,-0.05
202003,4.27,1.14
202004,4.51,0.62
202005,3.47,-1.19
202006,3.17,-1.55
202007,3.57,-1.75
202008,4.37,-0.02
202009,2.46,-1.88
202010,3.63,-0.84
202011,2.97,0.16
202012,4.44,0.97
202101,1.79,-1.16
202102,3.02,-0.38
202103,2.81,-0.32
202104,2.79,-1.10
202105,4.28,-0.38
202106,3.54,-1.18
202107,6.24,0.92
202108,5.89,1.50
202109,6.98,2.64
202110,4.61,0.14
202111,1.73,-1.08
202112,2.43,-1.04
202201,2.54,-0.41
202202,4.31,0.91
202203,2.75,-0.38
202204,4.30,0.41
202205,5.15,0.49
202206,3.58,-1.14
