Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,33.8,-1.9
201502,28.9,-11.1
201503,44.2,-2.8
201504,55.9,0.2
201505,67.1,2.2
201506,73.7,1.6
201507,75.3,-1.3
201508,73.2,-1.8
201509,69.3,-0.3
201510,56.3,-2.6
201511,51.1,4.2
201512,49.6,8.0
201601,33.1,-2.6
201602,38.4,-1.6
201603,51.8,4.8
201604,55.1,-0.6
201605,61.9,-3.0
201606,71.8,-0.3
201607,77.3,0.7
201608,77.0,2.0
201609,71.8,2.2
201610,59.8,0.9
201611,48.3,1.4
201612,39.1,-2.5
201701,40.1,4.4
201702,46.0,6.0
201703,45.9,-1.1
201704,60.6,4.9
201705,63.4,-1.5
201706,71.2,-0.9
201707,76.8,0.2
201708,72.8,-2.2
201709,67.4,-2.2
201710,60.2,1.3
201711,46.1,-0.8
201712,37.2,-4.4
201801,31.8,-3.9
201802,45.2,5.2
201803,41.2,-5.8
201804,52.2,-3.5
201805,69.7,4.8
201806,73.1,1.0
201807,75.1,-1.5
201808,75.2,0.2
201809,72.8,3.2
201810,59.0,0.1
201811,43.8,-3.1
201812,39.7,-1.9
201901,36.3,0.6
201902,41.8,1.8
201903,43.9,-3.1
201904,58.1,2.4
201905,68.9,4.0
201906,71.2,-0.9
201907,77.1,0.5
201908,74.7,-0.3
201909,72.5,2.9
201910,60.6,1.7
201911,43.1,-3.8
201912,41.5,-0.1
202001,40.6,4.9
202002,42.4,2.4
202003,51.7,4.7
202004,53.3,-2.4
202005,60.5,-4.4
202006,71.3,-0.8
202007,78.7,2.1
202008,75.5,0.5
202009,66.4,-3.2
202010,59.0,0.1
202011,51.3,4.4
202012,38.4,-3.2
202101,36.6,0.9
202102,36.6,-3.4
202103,48.6,1.6
202104,55.3,-0.4
202105,62.4,-2.5
202106,72.0,-0.1
202107,75.9,-0.7
202108,76.4,1.4
202109,68.5,-1.1
202110,62.4,3.5
202111,44.6,-2.3
202112,45.9,4.3
202201,32.9,-2.8
202202,40.8,0.8
202203,49.0,2.0
202204,55.2,-0.5
202205,65.1,0.2
202206,72.2,0.1
202207,76.9,0.3
202208,74.8,-0.2
202209,67.8,-1.8
202210,54.0,-4.9
